Date,District,Area,Min Water Level,Max Water Level,Average
04/12/2021, Kuching,Pekan Lundu,0.05,0.1,0.07500000000000001
05/12/2021, Betong,Empayang,0.3,0.5,0.4
05/12/2021, Kuching,Pekan Lundu,0.05,0.3,0.175
05/12/2021,Kuching, Jalan Sultan Tengah Off to Santubong,0.3,0.5,0.4
05/12/2021,Kuching, Kampung Buntal Lot,0.3,0.6,0.44999999999999996
05/12/2021,Kuching, Kampung Sungai Batu,0.3,0.6,0.44999999999999996
05/12/2021,Sarikei  , Lebuh Tebingan Nyelong,0.22,0.22,0.22
05/12/2021,Betong, Kampung Spaoh,0.1,0.15,0.125
06/12/2021,Kuching, Tabuan Dayak,0.1,0.2,0.15000000000000002
06/12/2021,  Kapit,Kampung Lebu' Kulit Sungai Asap,0.3,1.0,0.65
06/12/2021, Kuching,Kampung Semariang Baru,0.3,0.5,0.4
06/12/2021,Kuching,Kampung Bako Ulu,0.4,0.6,0.5
06/12/2021,Kuching, Kampung Telaga Air,0.5,0.9,0.7
06/12/2021,Sarikei,Leboh Tebingan Nyelong ,0.28,0.28,0.28
06/12/2021,Mukah,Kampung Tanjong Pedada ,0.2,0.5,0.35
09/12/2021,Sibu,Lorong Bahagia 9B,0.15,0.15,0.15
11/12/2021,Sibu, Lorong Bahagian 9B,0.3,0.3,0.3
13/12/2021,Betong,RH Pelandok ,0.3,0.9,0.6
17/12/2021, Sibu  ,SK Sungai Buloh,0.36,0.7,0.53
19/12/2021,  Sibu,Jalan ke Tabalong Nanga Tamin,0.3,0.9,0.6
20/12/2021, Sibu,Lorong Oya Lama (Ing San Road),0.15,0.3,0.22499999999999998
26/12/2021, Serian,Kampung Hulu,0.2,0.5,0.35
